group,tail,info,model,N,breach,breach_pass,gate_pass,q_loss,fz_loss,severity
LGBM,Right,JP + US close core + JP proxy,LGBM median/MAD POT-GPD UniBM block-maxima shape,474,0.078059,False,False,0.001081,-4.019133,0.007015
LGBM,Right,JP + US close core + JP proxy + Asia proxy,LGBM median/MAD POT-GPD UniBM block-maxima shape,473,0.071882,True,True,0.001078,-4.029358,0.00758
LGBM,Right,JP only,LGBM POT-GPD plain MLE,484,0.043388,True,True,0.001397,-3.575095,0.008965
LGBM,Right,JP + US close core,LGBM POT-GPD plain MLE,480,0.05625,True,True,0.00115,-3.876295,0.008916
LGBM,Right,JP + US close core + JP proxy,LGBM POT-GPD plain MLE,473,0.048626,True,True,0.001084,-3.913324,0.00845
LGBM,Right,JP + US close core + JP proxy + Asia proxy,LGBM POT-GPD plain MLE,470,0.061702,True,True,0.001161,-3.857905,0.00789
LGBM,Right,JP only,LGBM POT-GPD UniBM block-maxima shape,484,0.045455,True,True,0.001392,-3.569052,0.008783
LGBM,Right,JP + US close core,LGBM POT-GPD UniBM block-maxima shape,481,0.058212,True,True,0.001146,-3.881077,0.00865
LGBM,Right,JP + US close core + JP proxy,LGBM POT-GPD UniBM block-maxima shape,473,0.05074,True,True,0.001075,-3.912444,0.00796
LGBM,Right,JP + US close core + JP proxy + Asia proxy,LGBM POT-GPD UniBM block-maxima shape,470,0.061702,True,True,0.001159,-3.864194,0.007858
