group,tail,info,model,N,breach,breach_pass,gate_pass,q_loss,fz_loss,severity
LGBM,Right,JP + US close core + JP proxy + Asia proxy,LGBM median/IQR POT-GPD UniBM block-maxima shape,526,0.041825,True,True,0.000989,-3.989895,0.007892
LGBM,Right,JP only,LGBM median/MAD POT-GPD plain MLE,483,0.049689,True,True,0.001315,-3.618814,0.00993
LGBM,Right,JP + US close core,LGBM median/MAD POT-GPD plain MLE,481,0.072765,True,True,0.001121,-3.951474,0.007656
LGBM,Right,JP + US close core + JP proxy,LGBM median/MAD POT-GPD plain MLE,473,0.078224,False,False,0.001084,-4.04324,0.006928
LGBM,Right,JP + US close core + JP proxy + Asia proxy,LGBM median/MAD POT-GPD plain MLE,472,0.067797,True,True,0.001083,-4.060735,0.007991
LGBM,Right,JP only,LGBM median/MAD POT-GPD UniBM block-maxima shape,483,0.055901,True,True,0.001316,-3.630921,0.009338
LGBM,Right,JP + US close core,LGBM median/MAD POT-GPD UniBM block-maxima shape,482,0.074689,True,True,0.001119,-4.02923,0.007563
LGBM,Right,JP + US close core + JP proxy,LGBM median/MAD POT-GPD UniBM block-maxima shape,473,0.078224,False,False,0.001085,-4.019123,0.007015
LGBM,Right,JP + US close core + JP proxy + Asia proxy,LGBM median/MAD POT-GPD UniBM block-maxima shape,472,0.069915,True,True,0.001081,-4.030926,0.007801
LGBM,Right,JP only,LGBM POT-GPD plain MLE,483,0.043478,True,True,0.001397,-3.577668,0.008965
LGBM,Right,JP + US close core,LGBM POT-GPD plain MLE,479,0.056367,True,True,0.001154,-3.877244,0.008916
LGBM,Right,JP + US close core + JP proxy,LGBM POT-GPD plain MLE,472,0.048729,True,True,0.001087,-3.913792,0.00845
LGBM,Right,JP + US close core + JP proxy + Asia proxy,LGBM POT-GPD plain MLE,469,0.061834,True,True,0.001164,-3.858581,0.00789
LGBM,Right,JP only,LGBM POT-GPD UniBM block-maxima shape,483,0.045549,True,True,0.001392,-3.571613,0.008783
LGBM,Right,JP + US close core,LGBM POT-GPD UniBM block-maxima shape,480,0.058333,True,True,0.001149,-3.882059,0.00865
LGBM,Right,JP + US close core + JP proxy,LGBM POT-GPD UniBM block-maxima shape,472,0.050847,True,True,0.001078,-3.912916,0.00796
LGBM,Right,JP + US close core + JP proxy + Asia proxy,LGBM POT-GPD UniBM block-maxima shape,469,0.061834,True,True,0.001163,-3.865048,0.007858
